# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
429	un	134357	-0.00687	-1.00000	-0.00483	-1.00000	-nan	-1.00000
434	un	136056	0.15336	-1.00000	0.03873	-1.00000	0.05286	-1.00000
438	un	136838	0.00851	-1.00000	0.00082	-1.00000	0.56270	-1.00000
450	un	142351	-0.00807	-1.00000	-0.00716	-1.00000	0.57771	-1.00000
459	un	144802	-0.00508	-1.00000	-0.00046	-1.00000	0.48444	-1.00000
461	un	145463	-0.01878	-1.00000	-0.01059	-1.00000	0.54796	-1.00000
468	un	146300	0.01075	-1.00000	0.00081	-1.00000	0.00162	-1.00000
477	un	148770	0.06646	-1.00000	0.03278	-1.00000	0.54552	-1.00000
479	un	149609	-0.00086	-1.00000	-0.00036	-1.00000	0.52576	-1.00000
483	un	151252	-0.04286	-1.00000	-0.00392	-1.00000	0.60217	-1.00000
487	un	152878	0.08770	-1.00000	0.00792	-1.00000	0.49722	-1.00000
488	un	153744	0.15999	-1.00000	0.01996	-1.00000	0.53429	-1.00000
489	un	154506	0.03097	-1.00000	0.00830	-1.00000	-nan	-1.00000
493	un	155328	-0.03901	-1.00000	-0.00895	-1.00000	-nan	-1.00000
499	un	156832	-0.02578	-1.00000	-0.01687	-1.00000	0.49486	-1.00000
504	un	158432	0.07192	-1.00000	0.06683	-1.00000	0.60232	-1.00000
507	un	160905	-0.00335	-1.00000	-0.00273	-1.00000	0.57544	-1.00000
510	un	161738	-0.01538	-1.00000	-0.00800	-1.00000	-0.00984	-1.00000
519	un	164145	0.02710	-1.00000	0.01422	-1.00000	0.54982	-1.00000
526	un	166666	0.05004	-1.00000	0.05096	-1.00000	0.50759	-1.00000
537	un	169204	-0.00180	-1.00000	-0.00184	-1.00000	-0.02052	-1.00000
542	un	171688	-0.05368	-1.00000	-0.05658	-1.00000	-0.07248	-1.00000
552	un	175772	-0.02053	-1.00000	-0.00160	-1.00000	0.00361	-1.00000
556	un	178233	-0.00770	-1.00000	-0.00404	-1.00000	-0.01067	-1.00000
562	un	179888	0.07804	-1.00000	0.05927	-1.00000	-nan	-1.00000
574	un	183820	0.06360	-1.00000	0.02225	-1.00000	0.53307	-1.00000
575	un	184593	-0.01323	-1.00000	-0.00704	-1.00000	0.52899	-1.00000
581	un	186863	0.00185	-1.00000	0.00183	-1.00000	-nan	-1.00000
585	un	188437	0.09605	-1.00000	0.02188	-1.00000	0.49742	-1.00000
602	un	191243	-0.02531	-1.00000	-0.00832	-1.00000	0.51141	-1.00000
616	un	197794	-0.03122	-1.00000	-0.03250	-1.00000	-0.03827	-1.00000
623	un	200911	-0.05151	-1.00000	-0.00790	-1.00000	0.52667	-1.00000
627	un	202582	0.13038	-1.00000	0.02246	-1.00000	0.46577	-1.00000
631	un	204182	0.03458	-1.00000	0.00457	-1.00000	0.00628	-1.00000
635	un	204925	0.04576	-1.00000	0.02578	-1.00000	0.05022	-1.00000
641	un	208096	-0.02627	-1.00000	-0.01292	-1.00000	-0.02166	-1.00000
654	un	211371	0.02294	-1.00000	0.01223	-1.00000	0.03767	-1.00000
656	un	212192	-0.04039	-1.00000	-0.01483	-1.00000	0.55167	-1.00000
660	un	212991	0.13035	-1.00000	0.02003	-1.00000	0.64160	-1.00000
661	un	213737	0.03631	-1.00000	0.01178	-1.00000	0.00088	-1.00000
666	un	216187	0.00317	-1.00000	0.00290	-1.00000	-nan	-1.00000
668	un	217025	0.19656	-1.00000	0.04081	-1.00000	-nan	-1.00000
690	un	224178	-0.05379	-1.00000	-0.05544	-1.00000	0.57206	-1.00000
699	un	229929	-0.00488	-1.00000	-0.00468	-1.00000	0.56609	-1.00000
704	un	231391	-0.04348	-1.00000	-0.00962	-1.00000	-nan	-1.00000
708	un	233032	-0.03214	-1.00000	-0.00371	-1.00000	0.50807	-1.00000
721	un	234689	-0.09091	-1.00000	-0.02552	-1.00000	-nan	-1.00000
734	un	240261	0.07541	-1.00000	0.01283	-1.00000	0.52328	-1.00000
