# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Tooele_Army	188	9.05727	0.62111	0.01021	0.82963	0.01953	0.00181	0.26793	0.04214	0.00266	0.73207	0.04214	0.00266	0.24362	0.02557	0.00207	0.75638	0.02557	0.00207	0.25804	0.02871	0.00220	-0.02273	0.05636	0.01021
Jail_Pond	83	13.01400	0.60289	0.01114	0.83267	0.02039	0.00205	0.25080	0.03787	0.00279	0.74920	0.03787	0.00279	0.23787	0.02645	0.00233	0.76213	0.02645	0.00233	0.24744	0.02862	0.00243	-0.00666	0.05150	0.01114
Mona	7	4.00000	0.00000	0.00000	0.83382	0.02614	0.00348	0.30669	0.08938	0.00643	0.69331	0.08938	0.00643	0.22488	0.03583	0.00407	0.77512	0.03583	0.00407	0.25701	0.04680	0.00465	-0.09517	0.05357	0.00000
Big_Springs	316	13.88506	1.02678	0.01269	0.83120	0.02009	0.00177	0.25446	0.03914	0.00248	0.74554	0.03914	0.00248	0.24045	0.02569	0.00201	0.75955	0.02569	0.00201	0.24951	0.02767	0.00208	-0.01025	0.06000	0.01269
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Tooele_Army	188	17182212	5954	5159	0.03003	9.51130	0.65717	0.00020	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00002	0.00020
Jail_Pond	83	15925043	4856	4348	0.02730	13.40362	0.92192	0.00024	0.99995	0.00001	0.00000	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00000	0.00002	0.00024
Mona	7	13357074	2161	1398	0.01047	3.98594	0.03244	0.00005	0.99997	0.00001	0.00000	0.00005	0.00003	0.00000	0.99995	0.00003	0.00000	0.00004	0.00001	0.00000	0.99996	0.00001	0.00000	0.00004	0.00002	0.00000	-0.00002	0.00001	0.00005
Big_Springs	316	17507574	6377	5804	0.03315	14.52622	1.04329	0.00024	0.99994	0.00002	0.00000	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00000	0.00002	0.00024
