# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Leland_Harris	286	13.46675	1.04652	0.01838	0.79871	0.01924	0.00249	0.30684	0.03985	0.00359	0.69316	0.03985	0.00359	0.28307	0.02245	0.00269	0.71693	0.02245	0.00269	0.29411	0.02426	0.00280	-0.02707	0.07071	0.01838
Lower_Rocky	156	13.05907	0.60775	0.01401	0.81168	0.02074	0.00259	0.28900	0.04122	0.00365	0.71100	0.04122	0.00365	0.26423	0.02568	0.00288	0.73577	0.02568	0.00288	0.27482	0.02779	0.00300	-0.03283	0.05086	0.01401
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Leland_Harris	286	15123879	3098	2942	0.01945	14.03726	1.45533	0.00031	0.99996	0.00001	0.00000	0.00006	0.00003	0.00000	0.99994	0.00003	0.00000	0.00006	0.00002	0.00000	0.99994	0.00002	0.00000	0.00006	0.00002	0.00000	-0.00001	0.00001	0.00031
Lower_Rocky	156	15113259	3098	2812	0.01861	13.57797	0.95738	0.00025	0.99996	0.00001	0.00000	0.00006	0.00003	0.00000	0.99994	0.00003	0.00000	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00002	0.00000	-0.00001	0.00001	0.00025
